a,b,c,d,e,f,g,h,i,j,k
24.4339,15.9982,16.002,4.763,2.4504,0,2.3548,0.1521,0.0096,0,0
24.4408,15.9969,16.0007,4.698,2.4434,0.0002,2.3929,0.1517,0.01,0,0
24.5095,15.9964,16.0003,4.626,2.4372,0,2.2567,0.1518,0.0082,0.0005,0
24.529,15.9955,15.9994,4.567,2.4311,0,2.2618,0.1584,0.0094,0.0013,0
25.3385,15.9945,15.9984,4.519,2.4259,0,2.1783,0.1586,0.0095,0,0
25.5962,15.9874,15.9912,4.495,2.4215,0.0001,2.127,0.1591,0.011,0,0
25.6989,15.9817,15.9856,4.5,2.4179,0,2.1192,0.1777,0.0092,0,0
25.9751,15.9822,15.9861,4.537,2.4135,0,2.1403,0.1774,0.009,0.0005,0
26.0557,15.9834,15.9873,4.594,2.4127,0.0004,2.1739,0.1779,0.0083,0.0008,0
25.8545,15.9719,15.9758,4.653,2.4134,0,2.2183,0.1778,0.0089,0,0
25.7019,15.9526,15.9565,4.724,2.4164,0,2.1687,0.1661,0.0106,0.0007,0
25.7037,15.9361,15.94,4.785,2.4202,0.0003,2.1173,0.1654,0.0087,0.0002,0
26.2926,15.9263,15.9301,4.84,2.426,0.0005,2.1318,0.1662,0.0092,0.0003,0
26.4582,15.9387,15.9425,4.865,2.4334,0,2.1077,0.1833,0.0096,0.0004,0
26.458,15.9576,15.9614,4.861,2.4405,0,2.1569,0.1836,0.0089,0.0001,0
26.3627,15.9667,15.9705,4.841,2.4479,0,2.0599,0.1841,0.0095,0,0
26.1873,15.9681,15.9719,4.791,2.4546,0,2.1535,0.1844,0.0098,0,0
26.1115,15.9658,15.9696,4.727,2.4591,0.0006,2.1369,0.187,0.0096,0.0001,0
26.0617,15.9603,15.9641,4.664,2.4662,0.0001,2.1029,0.1874,0.0095,0.0003,0
26.012,15.9534,15.9573,4.612,2.4747,0,2.1201,0.1875,0.009,0,0
25.9626,15.9475,15.9513,4.576,2.4814,0,2.0366,0.1933,0.0086,0.0002,0
26.0382,15.9414,15.9452,4.568,2.4881,0,2.0959,0.1932,0.0094,0.0006,0
26.2244,15.941,15.9448,4.574,2.4963,0.0002,2.1761,0.1931,0.0089,0.001,0
26.3778,15.9421,15.9459,4.605,2.5013,0.0004,2.145,0.1842,0.0103,0,0
26.3252,15.9464,15.9502,4.646,2.5033,0.0009,2.0624,0.1839,0.0102,0.0005,0
26.1976,15.9455,15.9494,4.688,2.5058,0,2.2405,0.1836,0.0094,0.0005,0
26.2017,15.9362,15.94,4.723,2.5073,0,2.1724,0.1836,0.0086,0.0002,0
26.0395,15.9306,15.9345,4.75,2.5094,0,2.2416,0.1668,0.0096,0,0
26.0262,15.9199,15.9237,4.767,2.5107,0,2.0407,0.1671,0.0096,0,0
25.9864,15.9116,15.9154,4.766,2.5129,0,2.1797,0.1668,0.008,0,0
25.8499,15.9066,15.9104,4.758,2.5142,0,2.0787,0.1592,0.0095,0,0
25.8407,15.8951,15.8989,4.739,2.516,0,2.1058,0.1595,0.0105,0.001,0
25.883,15.8866,15.8904,4.72,2.5157,0,2.2772,0.1601,0.0097,0,0
25.9967,15.886,15.8898,4.7,2.5153,0.0002,2.2044,0.1955,0.0095,0,0
26.2024,15.895,15.8988,4.674,2.5137,0.0007,2.1201,0.1958,0.0089,0.0002,0
26.209,15.9157,15.9195,4.657,2.5126,0,2.0605,0.1959,0.0099,0.0002,0
26.2354,15.9333,15.9371,4.644,2.5112,0,2.2066,0.1954,0.0093,0.0013,0
26.3132,15.9459,15.9498,4.631,2.5086,0.0002,2.124,0.1804,0.0098,0.0002,0
26.4139,15.9598,15.9636,4.626,2.5065,0,1.9888,0.1798,0.0096,0.0005,0
26.4146,15.9758,15.9796,4.622,2.506,0.0008,2.0778,0.1801,0.0078,0.0011,0
26.291,15.9869,15.9908,4.614,2.5066,0.0008,2.1444,0.1786,0.0085,0.0003,0
26.0385,15.9845,15.9884,4.604,2.5074,0.0001,2.2814,0.1786,0.009,0.0007,0
26.0864,15.9713,15.9751,4.608,2.5097,0.0005,2.2545,0.1791,0.0106,0,0
26.2135,15.9636,15.9674,4.606,2.5122,0.0001,2.2375,0.1785,0.0089,0.0002,0
26.3133,15.9665,15.9703,4.606,2.5183,0.0001,2.3121,0.174,0.0108,0.0002,0
26.3384,15.9762,15.98,4.609,2.52,0,2.2271,0.1737,0.0096,0.0006,0
26.182,15.9834,15.9873,4.62,2.5235,0,2.1189,0.1743,0.0101,0.0003,0
26.09,15.9814,15.9853,4.622,2.5261,0.0012,2.1093,0.1731,0.0093,0,0
26.185,15.9759,15.9798,4.626,2.5265,0.0004,2.2116,0.1733,0.0078,0,0
26.2074,15.9738,15.9777,4.639,2.5285,0.0001,2.2153,0.1731,0.0091,0.0004,0
26.2004,15.9722,15.976,4.639,2.5296,0,2.2106,0.1671,0.0082,0,0
26.0492,15.9687,15.9726,4.642,2.5315,0,2.2321,0.1666,0.01,0.0002,0
25.8868,15.962,15.9659,4.637,2.532,0,2.1762,0.1666,0.0097,0.0004,0
25.9259,15.9549,15.9587,4.626,2.5316,0.0007,2.1547,0.1664,0.0077,0,0
25.8783,15.9493,15.9531,4.62,2.5324,0.0011,2.228,0.1674,0.0089,0.0013,0
25.855,15.9444,15.9483,4.613,2.532,0.0002,2.1669,0.1666,0.0085,0.0011,0
25.8646,15.9392,15.943,4.611,2.5309,0,2.0931,0.1674,0.0108,0,0
25.8393,15.9346,15.9385,4.603,2.5297,0,2.2325,0.1695,0.011,0.0012,0
25.7648,15.9305,15.9343,4.6,2.5272,0,2.2335,0.1691,0.0106,0,0
25.6486,15.925,15.9288,4.596,2.5256,0,2.2293,0.1696,0.0092,0.0005,0
25.5874,15.9167,15.9205,4.591,2.5213,0.0001,2.2199,0.1689,0.0101,0.0003,0
25.6158,15.9083,15.9121,4.596,2.5194,0.0002,2.1551,0.1685,0.0103,0.0002,0
25.6257,15.903,15.9068,4.594,2.515,0.0009,2.2182,0.1689,0.0101,0.0002,0
25.6375,15.8994,15.9032,4.598,2.5131,0.0003,2.2583,0.1697,0.0095,0,0
25.6577,15.8957,15.8995,4.6,2.5101,0.0004,2.1173,0.1646,0.0094,0.0002,0
25.6455,15.8931,15.8969,4.598,2.5061,0.0001,2.248,0.1639,0.0103,0,0
25.5633,15.8936,15.8974,4.603,2.5033,0.0002,2.2522,0.1643,0.0097,0,0
25.4637,15.8938,15.8976,4.602,2.4981,0.0002,2.2873,0.1633,0.0108,0,0
25.3957,15.8937,15.8975,4.596,2.4984,0.0001,2.3378,0.1631,0.0101,0.0004,0
25.3717,15.8944,15.8982,4.591,2.4926,0,2.3417,0.1635,0.009,0.0004,0
25.2769,15.8951,15.8989,4.589,2.4887,0.0006,2.3146,0.1632,0.0091,0.001,0
25.3101,15.896,15.8998,4.589,2.4872,0,2.3586,0.1668,0.0094,0,0
25.2335,15.8996,15.9034,4.593,2.4845,0,2.2385,0.1668,0.0106,0.0002,0
25.1368,15.9064,15.9102,4.607,2.4816,0,2.2205,0.1665,0.0095,0,0
25.4542,15.9154,15.9192,4.631,2.4777,0.0003,2.3017,0.1597,0.0103,0.0002,0
25.9105,15.9301,15.9339,4.666,2.4747,0.0006,2.3745,0.1598,0.0103,0.0002,0
25.8865,15.944,15.9478,4.698,2.4717,0.0005,2.116,0.1592,0.0092,0.0003,0
25.8825,15.945,15.9488,4.732,2.47,0.0004,2.2135,0.1502,0.0101,0,0
26.192,15.9424,15.9463,4.764,2.4665,0,2.2666,0.1497,0.0092,0,0
26.4063,15.9493,15.9531,4.786,2.464,0,2.1531,0.1504,0.0096,0,0
26.3268,15.9612,15.965,4.797,2.4649,0.0001,2.23,0.1507,0.0093,0,0
26.2411,15.97,15.9739,4.795,2.4666,0.0002,2.387,0.1674,0.0099,0.0008,0
26.155,15.9735,15.9774,4.782,2.4688,0,2.2419,0.1675,0.009,0.0002,0
26.3062,15.9688,15.9727,4.759,2.473,0.0014,2.3172,0.1677,0.009,0.0002,0
26.4193,15.9728,15.9766,4.737,2.4781,0.0004,2.2183,0.1682,0.0092,0,0
26.4844,15.9847,15.9885,4.715,2.4849,0,2.1564,0.1682,0.0098,0.0002,0
26.3332,15.997,16.0008,4.699,2.491,0.0008,2.2048,0.1678,0.0101,0,0
26.1626,15.9936,15.9975,4.68,2.4933,0.0008,2.2193,0.1723,0.0098,0,0
26.1421,15.98,15.9838,4.665,2.5023,0,2.2095,0.1729,0.0091,0.0008,0
26.237,15.9746,15.9785,4.652,2.5048,0,2.1673,0.1727,0.0105,0.0011,0
25.9728,15.9802,15.9841,4.641,2.5094,0.0006,2.1868,0.1726,0.009,0,0
26.0271,15.9833,15.9872,4.626,2.5132,0.0001,2.3643,0.1661,0.01,0.0002,0
26.3781,15.9787,15.9825,4.622,2.5169,0.0008,2.2815,0.1654,0.0087,0,0
26.4413,15.9853,15.9891,4.62,2.52,0.0002,2.3059,0.1662,0.0083,0,0
26.4228,15.9925,15.9964,4.624,2.5235,0.0002,2.1533,0.1689,0.0085,0.0005,0
26.3676,15.9945,15.9984,4.627,2.5248,0.0018,2.4064,0.1692,0.0092,0.0014,0
26.3319,15.9894,15.9932,4.644,2.5264,0,2.0306,0.1691,0.009,0,0
26.3639,15.9804,15.9842,4.657,2.5281,0.0002,2.1112,0.1689,0.0093,0,0
26.3151,15.9748,15.9786,4.69,2.5307,0,2.0552,0.1675,0.0087,0.0005,0
26.3102,15.9674,15.9712,4.716,2.5322,0.0004,2.1727,0.1677,0.0095,0.001,0
26.2943,15.9616,15.9654,4.74,2.534,0.0006,2.2366,0.1682,0.0083,0,0
26.1907,15.9606,15.9644,4.758,2.5361,0,2.2172,0.1672,0.0091,0,0
26.0209,15.9566,15.9605,4.776,2.5367,0.0002,2.1184,0.1667,0.0099,0,0
25.9303,15.9459,15.9497,4.784,2.5376,0,2.3244,0.1672,0.0089,0,0
25.9357,15.9338,15.9376,4.784,2.539,0,2.0405,0.1642,0.0094,0,0
25.9099,15.9255,15.9293,4.782,2.5398,0.0002,2.3141,0.165,0.0101,0,0
25.9156,15.9222,15.926,4.771,2.5407,0,2.3061,0.1641,0.0092,0,0
25.8476,15.9225,15.9263,4.769,2.5396,0.0001,2.2133,0.1648,0.0085,0,0
25.6653,15.9228,15.9266,4.758,2.5376,0,2.2687,0.173,0.0089,0,0
25.7389,15.9193,15.9232,4.746,2.5353,0,2.2964,0.173,0.0097,0.0003,0
25.677,15.9194,15.9232,4.72,2.5319,0.0002,2.324,0.173,0.008,0,0
25.7073,15.9208,15.9246,4.7,2.5286,0.0005,2.3236,0.1656,0.0086,0.0007,0
25.7017,15.9232,15.9271,4.667,2.5237,0.0001,2.2489,0.1662,0.0085,0,0
25.679,15.9254,15.9292,4.636,2.5216,0.0001,2.2329,0.1655,0.0098,0.0002,0
25.6713,15.9259,15.9297,4.601,2.5158,0,2.2844,0.1659,0.0092,0.0003,0
25.6185,15.9244,15.9283,4.573,2.5129,0,2.3724,0.1657,0.0102,0.0005,0
25.5763,15.9205,15.9243,4.557,2.5092,0.0002,2.2953,0.1662,0.0104,0.0008,0
25.5015,15.9151,15.9189,4.557,2.5059,0.0007,2.2292,0.165,0.0114,0,0
25.2641,15.9085,15.9123,4.578,2.503,0.0002,2.2904,0.1625,0.0109,0,0
25.1343,15.9041,15.9079,4.631,2.5007,0.0001,2.4052,0.1625,0.0101,0.0003,0
25.3575,15.9037,15.9075,4.701,2.4975,0.0002,2.3441,0.1621,0.0103,0.0005,0
25.8273,15.9068,15.9107,4.79,2.4971,0.0008,2.3445,0.1539,0.0089,0.0002,0
26.1405,15.9101,15.9139,4.882,2.493,0.0001,2.3334,0.154,0.0094,0,0
26.2083,15.92,15.9238,4.973,2.4885,0,2.3433,0.1537,0.0094,0.0005,0
26.197,15.9277,15.9315,5.045,2.4862,0.0006,2.2467,0.1537,0.01,0,0
26.1983,15.9297,15.9335,5.085,2.4811,0,2.2437,0.1666,0.0098,0.001,0
26.2546,15.9305,15.9343,5.084,2.4778,0,2.2937,0.1668,0.0098,0.0008,0
25.9669,15.9335,15.9373,5.038,2.4786,0.0005,2.2329,0.1665,0.0105,0.0006,0
25.8218,15.9328,15.9366,4.95,2.48,0.0001,2.249,0.1742,0.0088,0.0005,0
25.6899,15.9305,15.9343,4.839,2.4833,0.0005,2.2296,0.1736,0.0085,0,0
25.5242,15.9287,15.9326,4.71,2.4855,0,2.2889,0.1741,0.0085,0,0
25.258,15.9282,15.932,4.58,2.4891,0,2.3388,0.1706,0.0086,0.0008,0
25.204,15.9273,15.9311,4.475,2.4932,0.0004,2.1931,0.1701,0.0071,0.0002,0
25.3326,15.9271,15.9309,4.408,2.4981,0.0005,2.3886,0.1708,0.0092,0.001,0
25.4858,15.9279,15.9317,4.384,2.4971,0.0005,2.2496,0.1704,0.0085,0,0
25.4854,15.9266,15.9304,4.409,2.497,0.0005,2.1461,0.169,0.0093,0.0003,0
25.6294,15.9178,15.9216,4.477,2.4974,0.0007,2.2304,0.169,0.0075,0.0002,0
25.4022,15.9017,15.9055,4.575,2.4926,0.0004,2.2553,0.1694,0.009,0,0
25.2634,15.8913,15.8951,4.693,2.4897,0.0008,2.3706,0.1576,0.009,0,0
25.6332,15.887,15.8908,4.817,2.4863,0,2.3606,0.1575,0.0095,0.0002,0
25.8684,15.889,15.8928,4.931,2.4831,0.001,2.3726,0.1573,0.009,0.0002,0
25.9882,15.8936,15.8975,5.025,2.4788,0.0001,2.2748,0.1571,0.0089,0.0005,0
26.2865,15.9014,15.9052,5.079,2.478,0,2.2898,0.155,0.011,0.0005,0
26.3572,15.9163,15.9201,5.101,2.4746,0,2.2522,0.1554,0.0113,0,0
26.2791,15.9312,15.935,5.075,2.4716,0.0002,2.2467,0.1541,0.0111,0,0
25.9135,15.9393,15.9432,5.013,2.4703,0.0006,2.3174,0.1633,0.0108,0,0
25.8004,15.9357,15.9396,4.913,2.4716,0,2.3371,0.1627,0.0102,0.0005,0
25.7034,15.9295,15.9333,4.8,2.4736,0.0001,2.3185,0.1627,0.0089,0.0006,0
25.6368,15.9223,15.9261,4.675,2.4758,0.0004,2.2869,0.1824,0.0086,0.0002,0
25.6398,15.9153,15.9191,4.573,2.4823,0,2.2954,0.183,0.0098,0,0
25.6966,15.9116,15.9154,4.49,2.4859,0.0005,2.3758,0.1832,0.0093,0,0
25.8599,15.912,15.9158,4.446,2.4902,0.0006,2.3326,0.182,0.0098,0,0
26.1795,15.9197,15.9236,4.444,2.4923,0.0008,2.2289,0.1736,0.0106,0.001,0
26.0599,15.9398,15.9436,4.47,2.4936,0,2.2985,0.1743,0.009,0,0
25.7368,15.9483,15.9522,4.527,2.4923,0.0002,2.2375,0.1737,0.009,0,0
25.5465,15.9296,15.9334,4.605,2.4932,0,2.379,0.1588,0.0087,0.0005,0
25.7128,15.899,15.9028,4.699,2.4936,0.0005,2.2838,0.1588,0.0091,0.0009,0
25.8155,15.8817,15.8855,4.782,2.4926,0,2.2866,0.1587,0.0097,0.0004,0
26.2863,15.8796,15.8834,4.861,2.4938,0,2.2827,0.173,0.0092,0.0002,0
26.6669,15.908,15.9118,4.924,2.4914,0.0001,2.3031,0.173,0.0106,0.0005,0
26.8479,15.9639,15.9677,4.944,2.4947,0.0002,2.2567,0.1727,0.0111,0,0
26.6555,16.0175,16.0214,4.94,2.4923,0.0002,2.3355,0.1731,0.0089,0,0
26.3846,16.0396,16.0434,4.906,2.4922,0,2.1922,0.189,0.0108,0,0
26.0498,16.0268,16.0306,4.836,2.492,0,2.0587,0.1903,0.0107,0,0
26.1062,15.9958,15.9996,4.744,2.4924,0.0004,2.1801,0.1891,0.0095,0,0
26.1559,15.9758,15.9796,4.643,2.5024,0.0002,2.2045,0.1952,0.0089,0,0
26.1329,15.968,15.9719,4.558,2.5087,0.0004,2.1318,0.1961,0.0099,0.0012,0
26.1033,15.964,15.9678,4.488,2.5154,0,2.2248,0.1954,0.0092,0.0002,0
26.2221,15.9613,15.9652,4.451,2.52,0.0002,2.3065,0.1961,0.0092,0.0005,0
26.2273,15.9648,15.9687,4.453,2.5241,0,2.2557,0.1749,0.0098,0.0004,0
26.0136,15.9635,15.9673,4.487,2.5254,0.0001,2.1878,0.1747,0.009,0.0005,0
25.9354,15.9435,15.9473,4.562,2.5274,0.001,2.2035,0.1755,0.0093,0,0
25.7931,15.9217,15.9256,4.649,2.527,0.0001,2.2791,0.1604,0.0095,0.0003,0
25.7372,15.8989,15.9027,4.74,2.5274,0,2.2243,0.1615,0.0095,0,0
25.7073,15.8798,15.8836,4.826,2.5267,0.0003,2.0655,0.1612,0.0094,0,0
25.7752,15.8667,15.8705,4.885,2.5266,0.0006,2.2828,0.1594,0.0105,0,0
26.0577,15.8657,15.8695,4.922,2.5254,0,2.251,0.1586,0.0105,0.001,0
26.3685,15.8862,15.89,4.917,2.523,0.0005,2.2313,0.1588,0.0092,0.0002,0
26.2339,15.9227,15.9265,4.878,2.519,0.0001,2.2811,0.1586,0.0083,0.0005,0
26.1375,15.9435,15.9473,4.81,2.5179,0.0004,2.3088,0.1817,0.0088,0,0
26.1262,15.9443,15.9481,4.719,2.5128,0,2.2141,0.181,0.0105,0,0
26.1686,15.9433,15.9471,4.619,2.5117,0.0012,2.2586,0.1815,0.01,0,0
26.2471,15.9474,15.9512,4.533,2.5103,0,2.1945,0.1941,0.0095,0,0
26.3475,15.9569,15.9608,4.47,2.5116,0.0002,2.1636,0.1942,0.0091,0,0
26.3783,15.9715,15.9754,4.441,2.5127,0.0002,2.2972,0.1945,0.0108,0.0008,0
26.2665,15.9837,15.9876,4.448,2.5151,0.0004,2.0911,0.1993,0.0103,0,0
26.142,15.9835,15.9873,4.488,2.5176,0.0016,2.2884,0.1994,0.0117,0.0002,0
26.0307,15.972,15.9758,4.549,2.5199,0.0001,2.1167,0.1995,0.0105,0,0
26.5555,15.9589,15.9628,4.614,2.5233,0.0002,2.2271,0.1997,0.0121,0,0
26.8207,15.9816,15.9854,4.667,2.5247,0.0006,2.2326,0.1818,0.011,0,0
26.8367,16.0247,16.0285,4.717,2.5281,0,2.0882,0.1816,0.009,0,0
26.8843,16.0563,16.0601,4.741,2.5323,0.0001,2.0579,0.1815,0.0095,0,0
26.9229,16.0807,16.0845,4.739,2.5331,0,2.1303,0.1853,0.0105,0.0005,0
26.817,16.0983,16.1022,4.715,2.5363,0.0005,2.1051,0.1865,0.0096,0.0002,0
26.6944,16.1031,16.107,4.675,2.5405,0.0004,2.1804,0.1861,0.0095,0,0
26.586,16.0922,16.0961,4.623,2.5458,0,2.137,0.1865,0.009,0.0004,0
26.5852,16.0768,16.0807,4.572,2.5518,0.0002,2.1486,0.1995,0.0094,0,0
26.5765,16.0661,16.07,4.546,2.5602,0,2.0402,0.1991,0.0098,0,0
26.6295,16.0623,16.0661,4.533,2.567,0.0001,2.1697,0.1994,0.0095,0.0008,0
26.3818,16.0659,16.0697,4.543,2.5759,0.0001,2.237,0.1691,0.009,0,0
26.1074,16.0564,16.0603,4.578,2.5822,0.0016,2.1018,0.1692,0.0092,0.0003,0
26.1002,16.0253,16.0291,4.622,2.585,0.0007,2.2691,0.1691,0.0103,0.0008,0
26.6397,16.0052,16.009,4.666,2.5889,0,2.1192,0.1705,0.0096,0.0011,0
26.8832,16.0301,16.034,4.697,2.5901,0,1.553,0.1704,0.0095,0,0
26.8311,16.0675,16.0713,4.724,2.5916,0,2.0874,0.1702,0.0103,0.0008,0
26.6199,16.0801,16.084,4.74,2.5913,0,2.126,0.1705,0.0092,0.0002,0
26.5381,16.0721,16.076,4.74,2.5886,0,2.1315,0.1759,0.0095,0.0013,0
26.5989,16.058,16.0618,4.73,2.5869,0.0002,2.3017,0.1769,0.0089,0,0
26.4045,16.051,16.0548,4.702,2.5874,0,2.1031,0.1762,0.0104,0,0
26.2795,16.036,16.0399,4.66,2.5885,0,2.2229,0.1825,0.0096,0,0
26.326,16.0187,16.0225,4.617,2.5898,0,2.1818,0.1825,0.0091,0,0
26.2241,16.0119,16.0158,4.57,2.5913,0,2.2245,0.183,0.0096,0.0005,0
26.0514,16.0034,16.0072,4.519,2.5911,0.0008,2.1424,0.1801,0.0109,0,0
26.0303,15.9869,15.9908,4.48,2.592,0.0009,2.2313,0.1798,0.0111,0,0
25.9308,15.9728,15.9766,4.464,2.5913,0,2.1075,0.1802,0.0117,0.001,0
25.8459,15.9593,15.9631,4.467,2.5883,0.0001,2.2081,0.1804,0.0114,0,0
25.7682,15.9467,15.9505,4.491,2.585,0,2.2255,0.1829,0.0095,0,0
25.6964,15.9344,15.9382,4.534,2.5813,0,2.2466,0.1817,0.0098,0,0
25.5717,15.9224,15.9263,4.59,2.5753,0,2.0659,0.1824,0.0098,0,0
25.4836,15.9092,15.913,4.658,2.572,0.0002,2.2825,0.1645,0.0107,0,0
25.7851,15.9013,15.9051,4.721,2.5647,0.0008,2.22,0.1646,0.0088,0,0
25.9484,15.9063,15.9101,4.782,2.5577,0,2.2847,0.1637,0.0096,0,0
26.1015,15.9137,15.9175,4.828,2.5521,0,2.2258,0.1642,0.0114,0.0001,0
26.0764,15.9201,15.9239,4.866,2.5429,0.0008,2.1801,0.1601,0.0107,0,0
26.0546,15.9226,15.9264,4.887,2.5357,0.0002,2.3461,0.1599,0.0093,0,0
25.9554,15.922,15.9259,4.894,2.5278,0.0003,2.2597,0.159,0.0093,0,0
25.9717,15.9192,15.923,4.889,2.524,0.0004,2.3945,0.1589,0.009,0,0
25.9378,15.9179,15.9217,4.874,2.519,0,2.3458,0.1587,0.0082,0.0007,0
25.9382,15.9177,15.9215,4.85,2.5183,0.0008,2.3302,0.159,0.0092,0,0
25.9605,15.9186,15.9224,4.822,2.5164,0.0005,2.2956,0.1788,0.0092,0.0002,0
25.9683,15.9207,15.9245,4.789,2.515,0.0001,2.2288,0.1792,0.0082,0,0
25.9769,15.923,15.9268,4.756,2.5135,0.0006,2.3082,0.1789,0.01,0.001,0
26.0095,15.9251,15.9289,4.721,2.5128,0.0011,2.3487,0.1797,0.0078,0.0003,0
26.096,15.9274,15.9312,4.69,2.5126,0.0001,2.4028,0.1759,0.0098,0.0003,0
26.1843,15.9329,15.9367,4.651,2.5112,0.0001,2.2145,0.1764,0.01,0.0009,0
26.1404,15.9416,15.9455,4.611,2.5111,0.0002,2.0299,0.1768,0.0101,0,0
26.0448,15.9461,15.9499,4.566,2.5106,0,2.2923,0.1724,0.0095,0,0
26.0713,15.9441,15.9479,4.524,2.5097,0.0002,2.2169,0.172,0.0105,0,0
26.0895,15.9422,15.946,4.489,2.5109,0.0001,2.1835,0.1711,0.0096,0.0008,0
26.0621,15.9411,15.9449,4.471,2.5114,0.0003,2.2454,0.1691,0.0098,0.0005,0
25.9314,15.9391,15.9429,4.472,2.5148,0.0001,2.3695,0.1691,0.0105,0.0002,0
25.8602,15.931,15.9348,4.494,2.5161,0.0003,2.2508,0.1691,0.0098,0.0005,0
26.0147,15.9191,15.9229,4.549,2.5173,0,2.2357,0.1696,0.0085,0.0005,0
26.3379,15.9196,15.9234,4.623,2.5181,0,2.1837,0.1632,0.0105,0,0
26.3989,15.9375,15.9413,4.704,2.5181,0.0001,2.2612,0.1633,0.0097,0,0
26.5363,15.9553,15.9591,4.792,2.5197,0.0012,2.1546,0.1633,0.0084,0,0
26.6691,15.9771,15.981,4.877,2.5209,0.0002,2.1217,0.176,0.0105,0.0005,0
26.6761,16.0032,16.0071,4.952,2.5201,0.0003,2.0347,0.1762,0.0086,0,0
26.6383,16.0217,16.0255,5.013,2.5214,0.0002,2.2218,0.1762,0.0093,0.0005,0
26.7031,16.0317,16.0356,5.062,2.5238,0.0001,2.201,0.1763,0.0097,0.0003,0
26.8112,16.0453,16.0492,5.086,2.5261,0.0004,2.1624,0.1745,0.0108,0.0013,0
26.7169,16.0648,16.0686,5.082,2.5306,0,2.2344,0.1739,0.0103,0,0
26.6048,16.0712,16.0751,5.058,2.5367,0,2.1054,0.174,0.0095,0,0
26.4759,16.0612,16.065,5.015,2.5431,0.0003,2.1108,0.1839,0.0095,0,0
26.3904,16.0418,16.0456,4.934,2.5483,0.0004,2.1695,0.1849,0.0096,0,0
26.3259,16.0226,16.0265,4.833,2.5541,0.0003,2.1004,0.1844,0.0105,0.0002,0
26.2959,16.0069,16.0107,4.716,2.5605,0.0001,2.1476,0.1912,0.0095,0.001,0
26.1417,15.9956,15.9995,4.595,2.5649,0,2.0924,0.1917,0.0107,0,0
26.0127,15.9813,15.9852,4.471,2.5691,0.0009,2.0924,0.1913,0.0092,0,0
25.8835,15.9663,15.9701,4.36,2.5711,0,2.1643,0.1906,0.0085,0.0003,0
25.7064,15.9523,15.9561,4.28,2.5716,0.0004,2.2497,0.1881,0.0082,0.0002,0
25.5528,15.9384,15.9422,4.227,2.5726,0,2.1763,0.1869,0.0085,0,0
25.5378,15.9252,15.929,4.213,2.572,0.0006,2.329,0.1863,0.0088,0,0
25.7255,15.917,15.9208,4.246,2.5682,0.0008,2.2435,0.1782,0.0096,0.0005,0
25.7259,15.9166,15.9204,4.305,2.5654,0,2.2344,0.1776,0.0095,0.0002,0
25.5648,15.9144,15.9182,4.393,2.5589,0,2.2609,0.1782,0.0105,0.0004,0
25.162,15.9102,15.914,4.511,2.5518,0.0009,2.2431,0.1701,0.0113,0.0006,0
25.7079,15.9036,15.9074,4.649,2.543,0,2.1936,0.1572,0.0099,0.0007,0
25.9968,15.9022,15.906,4.8,2.5366,0.0011,2.309,0.1571,0.0087,0.0005,0
26.0738,15.9076,15.9114,4.962,2.5296,0.0004,2.3637,0.1576,0.0125,0,0
26.3511,15.9181,15.9219,5.098,2.5217,0,2.2155,0.1707,0.0107,0.0006,0
26.5498,15.9467,15.9505,5.207,2.5154,0.0013,1.8972,0.1705,0.0095,0,0
26.6815,15.9863,15.9901,5.264,2.5096,0.0001,2.0572,0.1707,0.0111,0.0007,0
26.8068,16.0283,16.0321,5.264,2.5068,0.0001,1.9883,0.1913,0.0094,0.001,0
26.5176,16.066,16.0699,5.21,2.5086,0,2.018,0.1905,0.0083,0.0002,0
26.3015,16.0695,16.0733,5.101,2.5085,0,2.1057,0.1912,0.0095,0,0
26.1363,16.0465,16.0504,4.948,2.513,0,2.2254,0.1913,0.0088,0.0002,0
26.0404,16.0174,16.0213,4.771,2.5177,0,2.2382,0.2028,0.0105,0.0003,0
26.0721,15.9943,15.9981,4.576,2.5236,0,2.294,0.2027,0.0098,0.0003,0
26.0038,15.9844,15.9882,4.4,2.5319,0.0003,2.1592,0.2026,0.0086,0,0
25.9553,15.9768,15.9806,4.247,2.5358,0.0002,2.2044,0.1923,0.0087,0,0
25.9177,15.9695,15.9734,4.14,2.5416,0,2.2115,0.1917,0.0088,0,0
25.807,15.9631,15.9669,4.083,2.5442,0,2.2243,0.1923,0.0101,0,0
25.8969,15.9551,15.9589,4.09,2.5438,0,2.2213,0.1787,0.011,0.0005,0
25.7977,15.9471,15.9509,4.161,2.5448,0.0004,2.2851,0.1784,0.0108,0.0002,0
25.7175,15.9299,15.9337,4.283,2.5407,0.0008,2.2179,0.1787,0.0095,0,0
25.7354,15.9088,15.9127,4.45,2.5396,0,2.2171,0.1791,0.0091,0,0
25.8406,15.8951,15.8989,4.638,2.5356,0.0001,2.2226,0.1637,0.01,0.0003,0
25.9327,15.8941,15.8979,4.826,2.5329,0.0002,2.213,0.1643,0.0085,0.0006,0
26.3778,15.904,15.9078,4.999,2.5307,0.0002,2.1327,0.1649,0.0087,0,0
26.5129,15.9421,15.9459,5.13,2.5245,0.0009,2.208,0.1679,0.0103,0,0
26.4438,15.9896,15.9935,5.206,2.5222,0.0004,2.178,0.1681,0.0109,0.0008,0
26.3412,16.0158,16.0197,5.209,2.5182,0.0002,2.1937,0.1678,0.0105,0.0001,0
