a,b,c,d,e,f,g,h,i,j,k
27.7888,16.2617,16.2656,4.646,2.6239,0.0006,1.5798,0.2312,0.0087,0.0005,0
27.7863,16.2604,16.2643,4.682,2.6257,0.0002,1.7514,0.2304,0.0096,0.0002,0
27.7829,16.2588,16.2627,4.725,2.6259,0.0002,1.873,0.2308,0.01,0.0002,0
27.7779,16.2569,16.2608,4.77,2.6285,0.0006,1.8186,0.2061,0.0101,0.0007,0
27.7695,16.2553,16.2592,4.819,2.6319,0.0002,1.7687,0.2066,0.0111,0.0006,0
27.7652,16.2539,16.2578,4.856,2.6338,0.0002,1.8204,0.2062,0.012,0.0002,0
27.765,16.2531,16.257,4.875,2.6353,0.0001,1.8609,0.2042,0.0112,0,0
27.7816,16.2554,16.2593,4.882,2.6367,0.0002,1.8945,0.2044,0.0116,0.0011,0
27.8148,16.2617,16.2656,4.859,2.6361,0.0002,1.8877,0.2039,0.0101,0.0003,0
27.8376,16.2728,16.2767,4.823,2.6355,0,1.8303,0.2036,0.0098,0,0
27.8488,16.2857,16.2896,4.774,2.6363,0,1.9036,0.2203,0.0103,0.0003,0
27.8417,16.2966,16.3005,4.716,2.637,0,2.0797,0.2198,0.0114,0,0
27.8247,16.303,16.3069,4.668,2.6379,0,1.8896,0.2191,0.0101,0,0
27.791,16.3016,16.3055,4.639,2.6387,0,1.7172,0.2473,0.0108,0.0005,0
27.7678,16.2937,16.2976,4.632,2.64,0.0002,2.0037,0.2474,0.0097,0,0
27.765,16.2839,16.2878,4.652,2.6421,0.0004,1.7829,0.2475,0.0103,0.0005,0
27.7617,16.2757,16.2796,4.702,2.6432,0,1.6313,0.2284,0.0108,0.0006,0
27.7636,16.2699,16.2738,4.769,2.6464,0.0005,1.8946,0.228,0.0092,0.0003,0
27.7767,16.2687,16.2726,4.85,2.6477,0.0002,1.7641,0.228,0.0096,0.0002,0
27.7959,16.2724,16.2763,4.915,2.65,0,1.7446,0.228,0.0092,0.0002,0
27.817,16.2803,16.2842,4.967,2.6548,0.0002,1.9652,0.2058,0.0094,0,0
27.8346,16.2898,16.2937,4.998,2.6561,0,1.8316,0.2052,0.0103,0,0
27.8577,16.3002,16.3042,4.994,2.6583,0,1.9153,0.2054,0.01,0,0
27.8853,16.3145,16.3184,4.976,2.6586,0.0002,1.846,0.2234,0.0105,0.0001,0
27.8824,16.3298,16.3337,4.933,2.6576,0.0001,1.7939,0.2235,0.0098,0.0003,0
27.867,16.3397,16.3436,4.877,2.6551,0,1.8147,0.2236,0.0085,0.0002,0
27.8251,16.3407,16.3447,4.816,2.6538,0.0004,1.7711,0.2177,0.0092,0.0005,0
27.7916,16.3322,16.3361,4.748,2.6555,0.0005,1.8943,0.2171,0.0085,0.0002,0
